,,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
58086,58086,0.208992057,65,0,0.922415517,5000,7,0,2,0,0,0
58087,58087,0.552453977,38,0,0.801770923,3500,9,0,2,0,0,0
58088,58088,0.190183371,59,0,0.051549828,9000,6,0,0,0,0,0
58089,58089,0.009709364,68,0,0.006245269,5283,7,0,0,0,0,0
58090,58090,0.182317119,36,0,0.757452324,5400,9,0,1,0,0,0
58091,58091,0.007819934,39,0,0.039158509,4800,8,0,0,0,0,0
58092,58092,0.001221826,46,0,0.168422871,12597.5,8,0,1,0,3,0
58093,58093,0.313063643,61,0,0.37793701,6000,14,0,1,0,0,0
58094,58094,0.144839056,35,0,1.911665291,5388,9,0,1,0,0,0
58095,58095,0.079997539,70,0,1.911665291,5388,5,0,0,0,0,0
58096,58096,0.140765195,47,0,0.311484516,7200,20,0,1,0,1,0
58097,58097,0.143759649,57,0,0.209522344,12597.5,13,0,1,0,3,0
58098,58098,0,35,0,0,1723,2,0,0,0,0,0
58099,58099,0.130854766,43,0,0.230982232,12597.5,12,0,2,0,3,0
58100,58100,0.969052842,56,0,1.911665291,5388,17,0,2,0,0,0
58101,58101,0.000631058,53,0,0.324418895,4000,12,0,2,0,0,0
58102,58102,0,53,0,0.122818153,3150,6,0,0,0,1,0
58103,58103,0.004933004,88,0,1.911665291,5388,2,0,0,0,0,0
58104,58104,0.99342951,37,0,0.284816096,6361,3,0,1,0,3,0
58105,58105,0.413911981,35,0,0.401588823,7300,9,0,2,0,1,0
58106,58106,0.989171738,73,3,1.911665291,3782,15,0,9,0,0,1
58107,58107,0.196113033,47,0,0.012321228,12597.5,4,0,0,0,5,0
58108,58108,1.534023669,46,1,0.008673755,3573,2,0,0,0,0,0
58109,58109,0.052721913,54,0,1.911665291,5388,6,0,1,0,1,0
58110,58110,0.128782829,30,0,1.911665291,5388,3,0,0,0,0,0
58111,58111,0.240528392,35,0,0.168548842,7083,5,0,1,0,0,0
58112,58112,0.932689104,24,0,0.044070877,2200,1,1,0,0,0,0
58113,58113,0.0009999,34,0,1.911665291,5388,5,0,1,0,0,0
58114,58114,0.019771374,53,0,0.289704709,8770,17,0,2,0,1,0
58115,58115,0.429959144,48,0,0.535116221,4000,6,0,1,0,1,0
58116,58116,0.989006987,62,3,0.466096116,6075,14,0,1,0,1,0
58117,58117,0.851391516,47,0,1.911665291,5388,4,1,1,0,0,0
58118,58118,0.042868025,49,0,0.288966725,2283,14,0,2,0,1,0
58119,58119,0.741920484,27,0,0.070418512,7000,4,0,0,2,3,1
58120,58120,0.037545254,54,0,0.184545236,12500,15,0,1,0,2,0
58121,58121,0.298665703,77,0,0.142447917,3839,7,0,1,0,0,0
58122,58122,0.012998917,59,0,1.911665291,5388,3,0,0,0,0,0
58123,58123,0.076191091,59,0,0.257499227,9700,15,0,2,0,1,0
58124,58124,0.000595224,55,0,1.911665291,5388,8,0,1,0,0,0
58125,58125,0.047977703,61,0,0.179613646,2432,9,0,0,0,2,0
58126,58126,0.015358771,44,0,0.268224574,6803,5,0,1,0,2,0
58127,58127,0.91235466,57,1,0.3609893,5700,11,0,0,1,0,0
58128,58128,0.022390534,68,0,1.911665291,5388,6,0,2,0,0,0
58129,58129,0.06006039,52,0,0.334681273,12597.5,20,0,2,0,0,0
58130,58130,0.142259795,57,0,1.911665291,5388,9,0,0,0,0,0
58131,58131,0.060841474,43,0,0.450237869,10509,7,0,2,0,0,0
58132,58132,0.010361752,37,0,1.911665291,5388,3,0,2,0,0,0
58133,58133,0.000416658,53,0,0.16111984,7000,15,0,1,0,1,0
58134,58134,0.24831667,26,0,0.138643559,6000,5,0,0,0,1,0
58135,58135,0.24008282,53,0,0.04429557,10000,3,0,0,0,0,1
58136,58136,0.902525977,41,0,0.319928905,4500,9,0,0,0,1,0
58137,58137,0.011378526,83,0,1.911665291,5388,1,0,0,0,0,0
58138,58138,0.895199541,57,0,1.911665291,5388,9,0,1,0,1,0
58139,58139,0.054701871,70,0,0.121345489,3180,6,0,1,0,0,0
58140,58140,0.429142714,45,0,0.261512223,5276,7,0,0,0,2,0
58141,58141,0.22121804,48,1,0.269890977,8621,5,0,2,0,2,0
58142,58142,0.893106893,27,1,0.062812277,1400,1,0,0,1,0,1
58143,58143,0,78,1,0,8000,4,0,0,0,0,0
58144,58144,0.364918451,34,0,0.172721042,5835,6,0,1,0,0,0
58145,58145,0.615304033,57,0,0.424473987,9552,8,0,3,0,3,0
58146,58146,0.172532594,55,0,0.451940737,8166,18,0,1,0,2,0
58147,58147,0.006424048,55,1,0.317707176,4500,14,0,2,0,0,0
58148,58148,0.045128473,82,0,1.911665291,5388,3,0,0,0,0,0
58149,58149,0.008203116,62,0,1.911665291,5388,8,0,1,0,1,0
58150,58150,0.387467711,32,0,0.389685568,7600,8,0,2,0,0,0
58151,58151,0.562287542,56,1,0.325683747,3180,7,0,1,0,0,0
58152,58152,0.923698177,56,0,1.911665291,5388,6,0,1,1,0,0
58153,58153,0.009057608,81,0,1.911665291,5388,12,0,0,0,0,0
58154,58154,0.019236829,60,0,1.911665291,5388,13,0,2,0,0,0
58155,58155,0,83,0,1.911665291,5388,3,0,0,0,0,0
58156,58156,0.957195821,33,0,1.911665291,5388,4,0,0,0,4,0
58157,58157,0.386219017,46,0,0.905612245,3135,15,0,2,0,2,0
58158,58158,0.419187489,39,0,1.911665291,2083,14,1,2,0,2,0
58159,58159,0.9999999,49,5,0.443625946,9773,8,1,1,1,0,1
58160,58160,0.039882562,34,0,1.911665291,5388,11,0,1,0,0,0
58161,58161,0.876057034,36,0,0.193414928,5800,6,0,0,0,1,0
58162,58162,0.090624393,68,0,0.371927237,4067,8,0,1,0,0,0
58163,58163,0.703697826,57,1,0.095380924,3333,3,0,0,0,0,1
58164,58164,0.023939521,66,1,0.008442568,4500,12,0,0,0,0,0
58165,58165,0.015451114,65,0,1.729459499,6900,14,0,4,0,1,0
58166,58166,0.004436784,77,0,0.017193123,2500,11,0,0,0,0,0
58167,58167,0.522041944,40,0,0.151461679,12597.5,4,0,2,0,4,0
58168,58168,0.127409487,43,0,0.631421072,5333,12,0,2,0,2,0
58169,58169,0,55,0,1.911665291,5388,3,0,1,0,0,0
58170,58170,0.20023525,42,0,0.762033995,7000,11,0,2,0,3,0
58171,58171,0,43,0,0.049997059,12597.5,3,0,0,0,1,0
58172,58172,0.579753108,29,0,0.190815116,5900,7,0,0,0,0,0
58173,58173,0.883500671,40,1,0.759723423,2313,7,0,0,0,2,0
58174,58174,0.456267483,63,0,0.542565412,7834,16,0,2,0,0,0
58175,58175,0.5848277,52,1,1.911665291,5388,22,0,3,0,0,1
58176,58176,0.062203753,28,0,0.507914468,3600,8,0,1,0,0,0
58177,58177,0.650011904,41,0,0.337192779,12597.5,9,0,2,0,0,0
58178,58178,0.498865851,74,0,0.358268643,4250,7,0,2,0,0,0
58179,58179,0.272251893,80,0,0.265164645,7500,18,0,1,0,0,0
58180,58180,0.084775423,64,0,0.187236545,10200,8,0,1,0,1,0
58181,58181,0.350004878,51,1,0.381490921,12597.5,10,0,3,0,0,0
58182,58182,0.002977263,51,0,1.911665291,5388,5,0,0,0,0,0
58183,58183,0.041850443,33,0,0.336077624,3400,5,0,1,0,0,0
58184,58184,0.135799213,54,0,0.291817524,9666,7,0,1,0,1,0
58185,58185,0,49,0,0.580167933,2500,13,0,1,0,2,0
58186,58186,0.010704623,41,0,1.911665291,5388,6,0,0,0,0,0
58187,58187,0.280268296,49,0,0.278857656,12597.5,11,0,1,0,2,0
58188,58188,0.629291381,37,0,1.911665291,5388,9,0,1,0,0,0
58189,58189,0.152627562,40,0,0.417623532,7750,12,0,2,0,1,0
58190,58190,0.9999999,35,0,0.329052412,2880,6,0,1,1,2,0
58191,58191,0.357976807,41,0,0.607515204,4603,19,0,2,0,0,0
58192,58192,0.353233094,29,0,0.49988001,4166,5,0,2,0,0,0
58193,58193,0.050039314,73,0,0.166333467,2500,10,0,0,0,0,0
58194,58194,0.9999999,39,0,0.008482278,3300,0,1,0,0,1,1
58195,58195,0,40,0,0,2981,3,0,0,0,0,0
58196,58196,0.420505783,27,0,0.016173869,3956,5,0,0,0,0,0
58197,58197,0.348666283,54,0,0.238993711,8585,7,0,2,0,1,0
58198,58198,0.85341477,47,1,0.210817796,5416,8,0,0,0,1,1
58199,58199,0.690934367,54,1,1.216841187,4583,15,0,2,0,0,0
58200,58200,0.02991811,86,0,0.090502238,2010,5,0,0,0,0,0
58201,58201,0.436939077,57,0,0.565371457,8183,7,0,2,0,0,0
58202,58202,0.125241557,83,0,1.911665291,5388,3,0,0,0,0,0
58203,58203,0.040991802,88,0,0.057992565,1344,3,0,0,0,0,0
58204,58204,0.011760555,51,0,1.911665291,5388,5,1,2,0,0,0
58205,58205,0.169359879,59,0,1.911665291,5388,3,0,1,0,2,0
58206,58206,0.029589439,64,0,0.014048531,3914,4,0,0,0,0,0
58207,58207,0.703120536,59,1,0.155110677,6143,10,0,0,0,0,0
58208,58208,0.9999999,80,0,0.581395349,1160,1,2,0,0,0,1
58209,58209,0.010449478,45,0,0.067557671,5461,2,0,0,0,0,0
58210,58210,0.005301378,78,0,0.152661681,4545,14,0,1,0,1,0
58211,58211,0.011495452,57,0,0.003479722,8333,6,0,0,0,0,0
58212,58212,0.024229867,48,0,0.213524728,12597.5,10,0,2,0,3,0
58213,58213,0.009788005,50,0,0.397652238,8177,6,0,2,0,1,0
58214,58214,0.77111731,74,0,0.191285403,2294,4,0,0,0,0,0
58215,58215,0.013170934,50,0,1.911665291,5388,11,0,0,0,1,0
58216,58216,0.146576773,69,0,0.250410256,12597.5,12,0,2,0,3,0
58217,58217,0,66,0,1.911665291,5388,11,0,1,1,0,0
58218,58218,0.818824157,84,0,0.463089485,6000,11,0,2,0,0,0
58219,58219,0.029127342,54,0,0.465983906,4100,19,0,1,0,0,0
58220,58220,0.004411635,71,0,1.911665291,5388,4,0,1,0,0,0
58221,58221,0.146334736,48,0,0.258421781,6500,9,0,1,0,0,0
58222,58222,0.072690911,47,0,0.271189048,6500,11,0,2,0,0,0
58223,58223,0,39,0,0.559860035,4000,8,0,1,0,0,0
58224,58224,0.54160541,26,0,0.163156016,2800,3,0,0,0,0,0
58225,58225,0,67,0,0.736492103,6014,7,0,2,0,0,0
58226,58226,0.203799655,68,0,1.911665291,5388,4,0,1,0,0,0
58227,58227,0.839160839,40,0,0.233052171,3200,5,0,0,0,0,0
58228,58228,0.523886308,57,0,0.11389332,12597.5,4,0,1,0,1,0
58229,58229,0.039817203,88,0,1.911665291,5388,3,0,0,0,0,0
58230,58230,0.042836272,56,0,0.016906017,5500,9,0,0,0,2,0
58231,58231,0.969147265,60,0,0.464689697,6541,6,1,1,0,0,0
58232,58232,0.108773641,46,0,1.911665291,5388,25,0,1,0,0,0
58233,58233,0.005063163,52,0,0.295592505,3788,6,0,1,0,1,0
58234,58234,0.024151911,50,0,0.185343251,8200,17,0,2,0,1,0
58235,58235,0.9999999,52,1,0.575474842,3000,5,5,0,0,2,1
58236,58236,0.9999999,54,7,0.128733533,12597.5,10,1,2,2,1,1
58237,58237,0.263084615,29,1,0.262874314,9650,11,0,2,0,0,0
58238,58238,0.074070034,39,1,1.911665291,5388,4,0,1,0,0,0
58239,58239,2.071856287,32,1,0.093953023,2000,2,1,0,0,0,0
58240,58240,0.003008734,80,0,0.340933768,1841,16,0,1,0,0,0
58241,58241,0.479279638,64,0,0.413403199,3625,10,0,2,0,0,0
58242,58242,0.010266439,59,0,0.061924305,10964,6,0,1,0,0,0
58243,58243,0.144321608,80,0,0.200275767,2900,17,0,0,0,0,0
58244,58244,0,50,0,1.911665291,5388,4,0,0,0,0,0
58245,58245,0.186158758,56,0,0.439390152,4000,11,0,0,0,0,0
58246,58246,0.563238913,61,0,0.591538591,11841,10,0,3,0,0,0
58247,58247,0.043642456,59,0,0.377225067,4100,8,0,1,0,0,0
58248,58248,0.9999999,28,1,0.248677249,1700,3,0,0,0,2,0
58249,58249,0.014429046,37,0,0.335253456,3471,4,0,1,0,0,0
58250,58250,0.024523757,34,0,0.003844675,2600,2,0,0,0,0,0
58251,58251,0.14827097,54,0,0.038708756,7000,5,0,0,0,2,0
58252,58252,0.9999999,50,2,1.911665291,5388,7,0,2,0,3,0
58253,58253,0.38767367,51,0,0.135893355,5025,7,0,1,0,0,0
58254,58254,0.415092344,59,0,1.911665291,5388,16,0,0,0,0,0
58255,58255,0.190242073,62,0,1.911665291,5388,8,0,2,0,2,0
58256,58256,0.363080638,52,0,1.911665291,5388,8,2,1,0,3,0
58257,58257,0,28,0,0.190126479,2450,11,0,0,0,1,0
58258,58258,0.283056182,72,0,0.234723404,5874,14,0,1,0,0,0
58259,58259,0.04741002,73,0,0.27818101,6750,9,0,1,0,0,0
58260,58260,0.1085794,26,0,0.049808429,260,2,0,0,0,0,0
58261,58261,0.020606878,56,0,0.16048541,7333,15,0,1,0,2,0
58262,58262,0.01557659,80,0,0.364702673,3665,11,0,2,0,1,1
58263,58263,0.02741713,69,0,0.182726909,5001,10,0,1,0,0,0
58264,58264,0.519356513,48,0,0.205863107,7640,9,0,0,0,0,0
58265,58265,0.55823441,38,0,0.427571262,11997,14,0,7,0,4,0
58266,58266,0.077646118,59,0,1.911665291,5388,6,0,1,0,0,0
58267,58267,0,53,0,1.911665291,5388,3,0,1,0,0,0
58268,58268,0.012754989,58,0,0.534938723,4650,6,0,2,0,0,0
58269,58269,0,33,0,0.522191124,2500,6,0,1,0,0,0
58270,58270,0.104544773,49,0,1.911665291,5388,6,0,2,0,1,0
58271,58271,0.818908123,60,2,1.911665291,5388,7,0,1,1,0,1
58272,58272,0.647445749,56,0,0.789084843,8391,8,0,3,0,2,1
58273,58273,0.055631887,55,0,0.230930318,12597.5,11,0,1,0,2,0
58274,58274,0.9999999,32,2,0.193472508,3400,8,0,0,0,0,1
58275,58275,0,42,0,0.890628884,4022,10,0,1,0,1,0
58276,58276,0.380247901,27,0,0.187867451,3741,5,0,1,0,1,0
58277,58277,0.028670371,55,0,0.403817025,3300,13,0,1,0,1,0
58278,58278,0.273226745,42,0,0.349272005,6043,10,0,2,0,0,0
58279,58279,0.019216834,48,0,1.911665291,3600,7,0,2,0,1,0
58280,58280,0.913849099,51,0,0.330696985,4045,12,0,0,0,0,0
58281,58281,0.04960812,57,0,1.245573958,1750,21,0,1,0,2,0
58282,58282,0.90170275,54,3,0.399264564,5166,9,0,0,0,1,0
58283,58283,0,26,0,0.710557888,3333,6,0,1,0,0,0
58284,58284,0.058519029,84,1,0.340531894,5000,28,0,2,0,0,0
58285,58285,0.040777652,57,0,0.343656782,11397,10,0,2,0,0,0
58286,58286,0.07951256,57,1,0.35155351,3475,19,0,1,1,0,0
58287,58287,0.659567363,40,0,0.642590775,5094,14,0,2,0,2,0
58288,58288,0.14902835,54,0,0.024696526,12597.5,4,0,0,0,2,0
58289,58289,0.306615766,69,0,0.295200893,5375,12,0,1,0,0,0
58290,58290,0.848985231,43,0,0.396455083,6600,7,0,0,0,2,1
58291,58291,0.014809658,78,0,1.911665291,5388,6,0,0,0,0,0
58292,58292,0,47,0,0.297409443,8916,7,0,2,0,0,0
58293,58293,0.9999999,42,0,0.344268573,7833,6,0,1,0,0,0
58294,58294,0.773310477,60,0,1.112477504,3333,7,0,2,0,0,0
58295,58295,0.001885215,59,0,0.045620248,9600,8,0,0,0,1,1
58296,58296,0.054834659,84,0,1.911665291,5388,3,0,0,0,0,0
58297,58297,0.205631016,38,0,0.809226594,3684,8,0,2,0,2,0
58298,58298,0.119985456,60,0,0.225385528,5900,9,0,2,0,0,1
58299,58299,0.017749756,80,0,0.184346878,11000,19,0,1,0,0,0
58300,58300,0,52,0,0.193687069,12597.5,10,0,3,0,2,0
58301,58301,0.010303252,74,0,0.003230272,6500,5,0,0,0,1,0
58302,58302,1.042957043,27,0,0.288985393,2532,4,3,0,0,0,0
58303,58303,0.9999999,36,0,0.829088312,4200,9,0,2,0,0,0
58304,58304,0.028608979,36,1,0.176213289,4800,4,0,0,0,2,0
58305,58305,0.006468548,78,0,1.911665291,5388,4,0,0,0,0,0
58306,58306,0.05521446,62,0,0.205999077,10834,6,0,1,0,0,0
58307,58307,0.15790065,51,0,0.219458988,4583,13,0,0,0,1,0
58308,58308,0.598677369,54,0,1.911665291,5388,5,0,2,0,0,0
58309,58309,0.060217501,43,1,0.712202326,10833,9,0,3,0,3,0
58310,58310,0.211759608,62,0,0.204584091,12597.5,6,0,3,0,0,0
58311,58311,0.920157371,40,0,0.664301838,3100,6,0,2,0,0,0
58312,58312,0.507608034,28,0,0.211330186,3600,13,0,0,1,0,0
58313,58313,0.174354884,53,1,0.346685083,2895,16,0,0,0,0,1
58314,58314,0.127892239,65,0,0.965847564,2400,11,0,2,0,0,0
58315,58315,0.06901834,85,0,0.359410147,4000,6,0,1,0,0,0
58316,58316,0.9999999,44,0,0.1272562,7700,3,0,0,0,0,0
58317,58317,0.441142159,56,0,0.98920216,3333,9,0,2,0,0,0
58318,58318,0,39,0,0,5850,4,0,0,0,0,0
58319,58319,0.006227122,58,0,0.170832108,3400,10,0,0,0,1,0
58320,58320,0.083156674,46,0,0.100489951,10000,3,0,1,0,3,0
58321,58321,0.06024247,85,0,0.004998215,2800,1,0,0,0,1,0
58322,58322,0,60,0,1.911665291,5388,7,0,1,0,0,0
58323,58323,0.257990077,35,0,0.228184991,4583,5,0,1,0,0,0
58324,58324,0.160709707,55,0,0.379690586,6075,10,0,4,0,0,0
58325,58325,0.02268583,41,0,0.007844947,4333,8,0,0,0,0,0
58326,58326,0.17929349,26,0,1.911665291,5388,5,0,0,0,0,0
58327,58327,0.02907369,56,0,0.281122777,4666,7,0,1,0,0,0
58328,58328,0.12179572,49,0,0.527278511,12573,14,0,2,0,0,0
58329,58329,0,75,0,0.078311721,3932,7,0,0,0,0,0
58330,58330,0.005784761,58,1,1.911665291,0,13,0,1,0,0,0
58331,58331,0.147731534,40,0,0.518880498,2250,8,0,0,0,0,0
58332,58332,0.087078897,65,0,0.579834333,3500,6,0,2,0,0,0
58333,58333,0.797250181,75,0,1.911665291,5388,10,2,0,0,1,1
58334,58334,0.097883395,62,0,0.196689048,12597.5,29,0,1,0,0,0
58335,58335,0.399500034,65,1,0.157768446,5000,3,0,0,0,0,0
58336,58336,0.019547757,89,0,1.911665291,5388,5,0,0,0,0,0
58337,58337,0.991618263,55,1,0.594676596,7250,9,0,2,0,1,0
58338,58338,0.671166345,61,2,0.077980505,4000,6,0,0,0,1,1
58339,58339,0.971953716,34,0,1.911665291,5388,7,0,2,0,0,0
58340,58340,0.097902098,31,0,0.112532713,3438,7,0,0,0,1,0
58341,58341,0.9999999,33,0,0.203409759,1700,1,0,0,1,0,0
58342,58342,0.07473019,49,0,0.142494384,10238,8,0,1,0,0,0
58343,58343,0,40,1,0,3800,7,0,0,0,0,0
58344,58344,0.024614438,57,0,0.249953849,10833,10,0,2,0,0,0
58345,58345,1.123932222,56,0,0.357234681,7000,8,0,1,0,0,0
58346,58346,0.144112928,44,0,0.337763687,8200,5,0,2,0,2,0
58347,58347,0.027883032,65,0,0.44909123,5666,10,0,1,0,0,0
58348,58348,0.007065725,24,0,0.001218027,820,2,0,0,0,0,0
58349,58349,0.9999999,57,2,0.748189281,4141,7,1,1,1,1,1
58350,58350,0.068073298,61,0,1.911665291,5388,10,0,1,0,0,0
58351,58351,0.048967675,33,0,0.333017078,7377,5,0,1,0,0,0
58352,58352,0.528274422,52,0,0.821950071,2122,6,0,2,0,2,0
58353,58353,0.346782661,73,0,1.911665291,5388,6,0,2,0,0,0
58354,58354,0.090900294,54,0,1.911665291,5388,7,0,2,0,1,0
58355,58355,0.213337225,51,0,0.358840842,8833,11,0,2,0,1,0
58356,58356,0,50,0,0.566685531,5300,13,0,2,0,3,0
58357,58357,0,31,0,0.75624653,1800,11,0,1,0,1,0
58358,58358,0.19678955,37,0,0.235764555,3125,6,0,0,0,1,0
58359,58359,0.14518115,38,0,0.349233883,6917,9,0,1,0,2,0
58360,58360,0.990181253,61,0,1.911665291,5388,11,0,2,0,0,0
58361,58361,0,53,0,1.911665291,5388,13,0,1,0,3,0
58362,58362,0.004641154,41,4,0.258999918,12138,11,0,2,1,2,0
58363,58363,1.043876701,71,0,0.413600892,7175,8,0,1,0,0,0
58364,58364,0.05058109,50,0,0.107015642,6456,10,0,1,0,0,0
58365,58365,0.000671096,70,1,0.178549739,8232,9,0,1,0,0,0
58366,58366,0.728481313,47,0,0.98863995,6337,11,0,3,0,2,0
58367,58367,0.026850493,62,0,0.198414399,12597.5,14,0,1,0,3,0
58368,58368,0.062777517,84,0,0.154969006,5000,5,0,1,0,0,0
58369,58369,0.070981512,45,0,0.759211654,3500,9,0,2,0,1,0
58370,58370,0.032647544,79,0,0.016994335,3000,9,0,0,0,1,0
58371,58371,0.917728652,55,2,1.1302485,3500,13,0,1,1,1,1
58372,58372,1.017554202,65,0,0.527812984,7100,18,0,1,0,0,0
58373,58373,0.003229055,52,0,0.597131682,2300,14,0,1,0,0,0
58374,58374,0.075276407,49,1,0.131448571,12597.5,16,0,2,0,4,0
58375,58375,0.167387215,48,0,1.911665291,5388,5,0,1,0,3,0
58376,58376,0.9999999,48,0,1.911665291,5388,8,0,2,0,1,0
58377,58377,0,48,1,0.319665907,2633,4,0,1,1,4,0
58378,58378,0.301055343,54,0,0.255097258,8533,12,0,1,0,0,0
58379,58379,0.790526292,75,0,0.430345297,5878,7,0,1,0,0,0
58380,58380,0.357354987,53,0,1.911665291,5388,9,0,2,0,0,0
58381,58381,0.317253368,56,1,1.24915318,2656,8,0,2,0,0,1
58382,58382,0.943032397,63,0,0.639556152,8200,20,0,2,0,0,0
58383,58383,0.667268236,48,0,0.380175827,12597.5,11,0,4,0,3,0
58384,58384,0.505856313,50,0,0.366247756,7240,8,0,1,0,2,0
58385,58385,0.9999999,48,1,0.331222926,3000,3,0,1,0,0,0
58386,58386,0.9999999,41,0,0,12597.5,3,0,0,0,0,0
58387,58387,0.242756125,65,0,1.911665291,5388,3,0,0,0,0,0
58388,58388,0.011701879,54,0,0.216166737,7100,7,0,1,0,0,0
58389,58389,1.00519896,40,0,0.054497454,5302,2,0,0,0,0,0
58390,58390,0.255672756,61,0,0.37507379,12597.5,14,0,2,0,1,0
58391,58391,0.01944516,75,0,0.204858063,6833,9,0,1,0,1,0
58392,58392,0.03065181,40,0,1.911665291,0,12,0,0,0,2,0
58393,58393,0.084688547,67,0,0.728930169,5813,13,0,2,0,0,0
58394,58394,0.984413293,37,4,0.239956172,5475,8,1,0,1,2,0
58395,58395,0.716452856,37,0,0.645338665,4000,6,0,1,0,3,0
58396,58396,1.199750312,62,2,0.788052987,4000,7,0,2,0,0,0
58397,58397,0,69,0,0,5388,11,0,0,0,0,0
58398,58398,0,92,0,0.006174069,5020,8,0,0,0,0,0
58399,58399,0.793362479,52,0,1.911665291,5388,8,0,1,0,0,0
58400,58400,0.054134198,59,0,0.412239826,6437,6,0,1,0,1,0
58401,58401,0.089682758,54,0,1.911665291,5388,4,0,1,0,0,0
58402,58402,0.192071703,53,1,0.493394643,12597.5,10,0,3,0,1,0
58403,58403,0.003739297,42,0,1.911665291,5388,9,0,1,0,0,0
58404,58404,0.353601132,38,0,1.503233392,1700,9,0,1,0,0,0
58405,58405,0.002517447,53,0,0.429205285,10141,9,0,1,0,0,0
58406,58406,0.035291654,54,1,1.610968295,1166,25,0,3,0,0,0
58407,58407,0.394960504,30,0,1.093266254,2583,12,0,1,0,0,0
58408,58408,0.050734989,60,0,0.097978227,4500,6,0,0,0,0,0
58409,58409,0.850299401,54,0,0.2921875,3839,4,0,1,0,0,0
58410,58410,0.984431983,34,0,0.197236866,5500,5,0,1,0,0,0
58411,58411,0.013066834,80,0,0.332396126,3200,24,0,0,0,0,0
58412,58412,0.013461883,49,0,0.003771622,7688,5,0,0,0,0,0
58413,58413,0.225179753,56,0,1.911665291,5388,6,0,2,0,0,0
58414,58414,0.000449428,63,0,0.357741712,12597.5,11,0,1,0,0,0
58415,58415,0.36959729,38,0,0.460005693,3512,13,0,1,0,1,0
58416,58416,0,77,1,0.228165269,9777,7,0,2,0,0,0
58417,58417,0.279139285,66,0,1.911665291,5388,11,0,2,0,0,0
58418,58418,1.03187251,58,0,0.266666667,1544,3,1,0,0,0,1
58419,58419,0.149077983,50,0,0.003250975,6151,3,0,0,0,1,1
58420,58420,0.242501119,43,0,0.343275772,3821,10,0,1,0,1,0
58421,58421,0.009523356,75,0,0.001638002,3662,1,0,0,0,0,0
58422,58422,0.072853221,36,0,0.016286645,7367,2,0,0,0,0,0
58423,58423,0.064374743,30,0,0.502566874,3700,6,0,1,0,2,0
58424,58424,0.083423841,36,0,0.330720381,10077,9,0,1,0,0,0
58425,58425,0.960978782,57,0,0.268324418,6916,5,0,1,0,0,0
58426,58426,0.545914263,26,0,0.563575791,1800,6,0,1,0,0,1
58427,58427,0.587079384,38,0,1.911665291,5388,4,0,1,0,0,0
58428,58428,0.03067512,39,0,0.015246188,4000,7,0,0,0,0,0
58429,58429,0.008799609,37,0,0.002172968,2300,6,0,0,0,0,0
58430,58430,0.291237686,35,0,1.911665291,5388,4,0,2,0,0,0
58431,58431,0.913163336,33,0,0.012377023,3150,3,1,0,0,1,0
58432,58432,0.103943047,55,0,1.199625117,3200,10,0,3,0,0,0
58433,58433,0.150871742,64,0,0.50594725,5800,10,0,1,0,0,0
58434,58434,0,24,0,0,2500,1,0,0,0,0,0
58435,58435,0.9999999,33,0,0.06575474,4166,2,0,0,0,3,0
58436,58436,0.00270453,85,0,1.911665291,5388,2,0,0,0,0,0
58437,58437,0.232469434,37,0,0.624763705,8463,17,0,2,0,0,0
58438,58438,0.580178147,27,1,0.319668033,10000,27,0,1,0,1,0
58439,58439,0.565297647,26,2,1.078431373,764,6,0,0,1,0,0
58440,58440,0.2999041,53,1,0.41061916,11450,15,0,4,0,1,0
58441,58441,0.743631217,35,0,0.776031995,7000,10,0,2,0,0,0
58442,58442,0.039934695,73,0,1.911665291,5388,12,0,2,0,0,0
58443,58443,0.150035729,61,2,0.547443879,5300,33,0,3,0,1,0
58444,58444,0.141931107,40,0,0.726378937,6000,15,0,3,0,1,0
58445,58445,0.045474267,34,0,0.006640106,9788,7,0,0,0,1,0
58446,58446,0.037263649,61,0,0.386084584,5130,9,0,1,0,2,0
58447,58447,0.373926107,45,0,0.215952011,4500,9,0,1,0,2,0
58448,58448,0,59,0,0.341207934,4486,13,0,1,0,1,0
58449,58449,0.003190063,45,1,0.240568019,11900,12,0,2,0,2,0
58450,58450,0.069719309,47,0,1.911665291,5388,5,0,1,0,0,0
58451,58451,0.14458409,46,0,0.045350014,10870,7,0,0,0,2,0
58452,58452,0.966414062,47,0,1.911665291,2500,9,0,4,0,1,0
58453,58453,0.78190727,49,0,0.311440901,9500,11,0,2,0,1,0
58454,58454,0.051528647,89,0,0.020618557,2715,8,0,0,0,0,0
58455,58455,0.355573164,46,0,0.364679288,12597.5,18,0,2,0,3,0
58456,58456,0.125104486,58,0,1.911665291,5388,12,0,2,0,0,0
58457,58457,0.032578619,30,0,1.911665291,5388,9,0,0,0,0,0
58458,58458,0.024179232,75,0,0.006707053,4621,7,0,0,0,0,0
58459,58459,0,27,0,0,820,2,0,0,0,0,0
58460,58460,0.880918591,44,1,0.869096509,3895,4,2,1,0,0,0
58461,58461,0.842279512,45,0,0.154948351,3000,7,0,0,0,0,0
58462,58462,0.03875394,57,0,0.119299621,7652,5,0,1,0,0,0
